num_violated_rows,pct_violated_rows,num_denominator_rows,execution_time,query_text,check_name,check_level,check_description,cdm_table_name,cdm_field_name,concept_id,unit_concept_id,sql_file,category,subcategory,context,warning,error,checkid,is_error,not_applicable,failed,passed,not_applicable_reason,threshold_value,notes_value
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,COHORT_DEFINITION,SUBJECT_CONCEPT_ID,null,null,cdmField.sql,Conformance,Relational,COHORT_DEFINITION.SUBJECT_CONCEPT_ID,null,null,dqd_cdmField_COHORT_DEFINITION_SUBJECT_CONCEPT_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_ERA,CONDITION_CONCEPT_ID,null,null,cdmField.sql,Conformance,Relational,CONDITION_ERA.CONDITION_CONCEPT_ID,null,null,dqd_cdmField_CONDITION_ERA_CONDITION_CONCEPT_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_ERA,CONDITION_ERA_END_DATE,null,null,cdmField.sql,Conformance,Relational,CONDITION_ERA.CONDITION_ERA_END_DATE,null,null,dqd_cdmField_CONDITION_ERA_CONDITION_ERA_END_DATE,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_ERA,CONDITION_ERA_ID,null,null,cdmField.sql,Conformance,Relational,CONDITION_ERA.CONDITION_ERA_ID,null,null,dqd_cdmField_CONDITION_ERA_CONDITION_ERA_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_ERA,CONDITION_ERA_START_DATE,null,null,cdmField.sql,Conformance,Relational,CONDITION_ERA.CONDITION_ERA_START_DATE,null,null,dqd_cdmField_CONDITION_ERA_CONDITION_ERA_START_DATE,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_ERA,CONDITION_OCCURRENCE_COUNT,null,null,cdmField.sql,Conformance,Relational,CONDITION_ERA.CONDITION_OCCURRENCE_COUNT,null,null,dqd_cdmField_CONDITION_ERA_CONDITION_OCCURRENCE_COUNT,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_ERA,PERSON_ID,null,null,cdmField.sql,Conformance,Relational,CONDITION_ERA.PERSON_ID,null,null,dqd_cdmField_CONDITION_ERA_PERSON_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,null,null,cdmField.sql,Conformance,Relational,CONDITION_OCCURRENCE.CONDITION_CONCEPT_ID,null,null,dqd_cdmField_CONDITION_OCCURRENCE_CONDITION_CONCEPT_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_OCCURRENCE,CONDITION_END_DATE,null,null,cdmField.sql,Conformance,Relational,CONDITION_OCCURRENCE.CONDITION_END_DATE,null,null,dqd_cdmField_CONDITION_OCCURRENCE_CONDITION_END_DATE,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_OCCURRENCE,CONDITION_END_DATETIME,null,null,cdmField.sql,Conformance,Relational,CONDITION_OCCURRENCE.CONDITION_END_DATETIME,null,null,dqd_cdmField_CONDITION_OCCURRENCE_CONDITION_END_DATETIME,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_OCCURRENCE,CONDITION_OCCURRENCE_ID,null,null,cdmField.sql,Conformance,Relational,CONDITION_OCCURRENCE.CONDITION_OCCURRENCE_ID,null,null,dqd_cdmField_CONDITION_OCCURRENCE_CONDITION_OCCURRENCE_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_OCCURRENCE,CONDITION_SOURCE_CONCEPT_ID,null,null,cdmField.sql,Conformance,Relational,CONDITION_OCCURRENCE.CONDITION_SOURCE_CONCEPT_ID,null,null,dqd_cdmField_CONDITION_OCCURRENCE_CONDITION_SOURCE_CONCEPT_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_OCCURRENCE,CONDITION_SOURCE_VALUE,null,null,cdmField.sql,Conformance,Relational,CONDITION_OCCURRENCE.CONDITION_SOURCE_VALUE,null,null,dqd_cdmField_CONDITION_OCCURRENCE_CONDITION_SOURCE_VALUE,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_OCCURRENCE,CONDITION_START_DATE,null,null,cdmField.sql,Conformance,Relational,CONDITION_OCCURRENCE.CONDITION_START_DATE,null,null,dqd_cdmField_CONDITION_OCCURRENCE_CONDITION_START_DATE,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_OCCURRENCE,CONDITION_START_DATETIME,null,null,cdmField.sql,Conformance,Relational,CONDITION_OCCURRENCE.CONDITION_START_DATETIME,null,null,dqd_cdmField_CONDITION_OCCURRENCE_CONDITION_START_DATETIME,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_OCCURRENCE,CONDITION_STATUS_CONCEPT_ID,null,null,cdmField.sql,Conformance,Relational,CONDITION_OCCURRENCE.CONDITION_STATUS_CONCEPT_ID,null,null,dqd_cdmField_CONDITION_OCCURRENCE_CONDITION_STATUS_CONCEPT_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_OCCURRENCE,CONDITION_STATUS_SOURCE_VALUE,null,null,cdmField.sql,Conformance,Relational,CONDITION_OCCURRENCE.CONDITION_STATUS_SOURCE_VALUE,null,null,dqd_cdmField_CONDITION_OCCURRENCE_CONDITION_STATUS_SOURCE_VALUE,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_OCCURRENCE,CONDITION_TYPE_CONCEPT_ID,null,null,cdmField.sql,Conformance,Relational,CONDITION_OCCURRENCE.CONDITION_TYPE_CONCEPT_ID,null,null,dqd_cdmField_CONDITION_OCCURRENCE_CONDITION_TYPE_CONCEPT_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_OCCURRENCE,PERSON_ID,null,null,cdmField.sql,Conformance,Relational,CONDITION_OCCURRENCE.PERSON_ID,null,null,dqd_cdmField_CONDITION_OCCURRENCE_PERSON_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_OCCURRENCE,PROVIDER_ID,null,null,cdmField.sql,Conformance,Relational,CONDITION_OCCURRENCE.PROVIDER_ID,null,null,dqd_cdmField_CONDITION_OCCURRENCE_PROVIDER_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CONDITION_OCCURRENCE,STOP_REASON,null,null,cdmField.sql,Conformance,Relational,CONDITION_OCCURRENCE.STOP_REASON,null,null,dqd_cdmField_CONDITION_OCCURRENCE_STOP_REASON,0,0,0,1,null,0.15,null
